Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,CI-1049,CI-1104,CI-8010,CI-8050,DFI-250,DFI-266,EF-W12,EF-W2,EF-W3,EF-W4,EF-W5,EF-W6,EF-W8
group_3330,galM,galactose-1-epimerase,13,13,1.0,1,4877,,,,1038,1038,1038.0,FHNNJA_09800,CJHMOJ_04590,HCJMML_05170,LIMHLO_04100,JEILEN_05170,JBIPMC_05225,PEDMFB_09980,PMCJLP_04880,MIJGKE_09985,JCNBHB_09990,CGGMPE_09985,LOEDCI_05080,FNCLAJ_04885
gpsB,gpsB,cell division regulator GpsB,13,13,1.0,1,4876,,,,411,429,416.53846153846155,FHNNJA_09390,CJHMOJ_05120,HCJMML_05590,LIMHLO_04495,JEILEN_05825,JBIPMC_05640,PEDMFB_09565,PMCJLP_05285,MIJGKE_09570,JCNBHB_09575,CGGMPE_09570,LOEDCI_05485,FNCLAJ_05290
group_3329,,DUF3955 domain-containing protein,13,13,1.0,1,4875,,,,207,207,207.0,FHNNJA_02925,CJHMOJ_11985,HCJMML_12830,LIMHLO_10300,JEILEN_13315,JBIPMC_12935,PEDMFB_02600,PMCJLP_11530,MIJGKE_02600,JCNBHB_02600,CGGMPE_02600,LOEDCI_12845,FNCLAJ_11805
yhgE,yhgE;,Uncharacterized membrane protein YhgE phage infection protein (PIP) family;Phage infection protein,13,13,1.0,1,4874,,,,2667,2706,2703.0,FHNNJA_11255,CJHMOJ_03450,HCJMML_03960,LIMHLO_02975,JEILEN_03940,JBIPMC_04005,PEDMFB_11390,PMCJLP_03755,MIJGKE_11390,JCNBHB_11400,CGGMPE_11100,LOEDCI_03915,FNCLAJ_03760
group_3328,srlB,Phosphotransferase system sorbitol-specific IIA component,13,13,1.0,1,4873,,,,369,369,369.0,FHNNJA_04000,CJHMOJ_10555,HCJMML_11475,LIMHLO_09190,JEILEN_11615,JBIPMC_11575,PEDMFB_04065,PMCJLP_10395,MIJGKE_04065,JCNBHB_04065,CGGMPE_04065,LOEDCI_11745,FNCLAJ_10665
group_3327,pheA,prephenate dehydratase,13,13,1.0,1,4872,,,,849,849,849.0,FHNNJA_07545,CJHMOJ_06870,HCJMML_07310,LIMHLO_06155,JEILEN_07585,JBIPMC_07385,PEDMFB_07890,PMCJLP_07040,MIJGKE_07895,JCNBHB_07895,CGGMPE_07890,LOEDCI_07230,FNCLAJ_07035
arsC,arsC,Arsenate reductase or related protein glutaredoxin family,13,13,1.0,1,4871,,,,360,360,360.0,FHNNJA_04310,CJHMOJ_10255,HCJMML_11170,LIMHLO_08970,JEILEN_11325,JBIPMC_11275,PEDMFB_04370,PMCJLP_10090,MIJGKE_04375,JCNBHB_04370,CGGMPE_04370,LOEDCI_11430,FNCLAJ_10360
group_3326,abgB,Metal-dependent amidase/aminoacylase/carboxypeptidase,13,13,1.0,1,4870,,,,1176,1176,1176.0,FHNNJA_01080,CJHMOJ_00920,HCJMML_01045,LIMHLO_00885,JEILEN_01070,JBIPMC_01055,PEDMFB_00890,PMCJLP_00925,MIJGKE_00890,JCNBHB_00890,CGGMPE_00890,LOEDCI_01180,FNCLAJ_00925
group_3325,,Ankyrin repeat domain-containing protein,13,13,1.0,1,4869,,,,786,804,802.6153846153846,FHNNJA_13455,CJHMOJ_01745,HCJMML_01600,LIMHLO_01450,JEILEN_01630,JBIPMC_01615,PEDMFB_01465,PMCJLP_01485,MIJGKE_01465,JCNBHB_01465,CGGMPE_01465,LOEDCI_01740,FNCLAJ_01485
bgsA,bgsA,cell wall glycolipid biosynthesis glucosyltransferase BgsA,13,13,1.0,1,4868,,,,1005,1005,1005.0,FHNNJA_02970,CJHMOJ_11940,HCJMML_12790,LIMHLO_10255,JEILEN_13270,JBIPMC_12895,PEDMFB_02645,PMCJLP_11485,MIJGKE_02645,JCNBHB_02645,CGGMPE_02645,LOEDCI_12805,FNCLAJ_11760
allB,allB;,allantoinase AllB;Dihydroorotase,13,14,1.0769230769230769,1,4867,,,,204,1365,1262.7857142857142,FHNNJA_02530,CJHMOJ_12370,HCJMML_13330,LIMHLO_10905;LIMHLO_10910,JEILEN_13700,JBIPMC_13435,PEDMFB_02205,PMCJLP_12195,MIJGKE_02205,JCNBHB_02205,CGGMPE_02205,LOEDCI_13230,FNCLAJ_12470
ysdA,ysdA,DUF1294 domain-containing protein,13,13,1.0,1,4866,,,,267,267,267.0,FHNNJA_08125,CJHMOJ_06300,HCJMML_06745,LIMHLO_05650,JEILEN_07020,JBIPMC_06820,PEDMFB_08465,PMCJLP_06475,MIJGKE_08470,JCNBHB_08470,CGGMPE_08465,LOEDCI_06655,FNCLAJ_06470
accB,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein,13,13,1.0,1,4865,,,,489,495,489.46153846153845,FHNNJA_03025,CJHMOJ_11885,HCJMML_12735,LIMHLO_10200,JEILEN_13215,JBIPMC_12840,PEDMFB_02700,PMCJLP_11430,MIJGKE_02700,JCNBHB_02700,CGGMPE_02700,LOEDCI_12750,FNCLAJ_11705
pEBP,pEBP,Uncharacterized conserved protein phosphatidylethanolamine-binding protein (PEBP) family,13,13,1.0,1,4863,,,,510,516,515.0769230769231,FHNNJA_05735,CJHMOJ_09010,HCJMML_09670,LIMHLO_07870,JEILEN_09660,JBIPMC_09760,PEDMFB_05900,PMCJLP_08865,MIJGKE_05905,JCNBHB_05905,CGGMPE_05900,LOEDCI_09520,FNCLAJ_09130
tsaC,tsaC,L-threonylcarbamoyladenylate synthase,13,13,1.0,1,4862,,,,1023,1023,1023.0,FHNNJA_04235,CJHMOJ_10325,HCJMML_11245,LIMHLO_09040,JEILEN_11390,JBIPMC_11350,PEDMFB_04300,PMCJLP_10160,MIJGKE_04300,JCNBHB_04300,CGGMPE_04300,LOEDCI_11515,FNCLAJ_10430
yobV,yobV,putative DNA-binding transcriptional regulator YobV contains HTH and WYL domains,13,13,1.0,1,4861,,,,936,936,936.0,FHNNJA_00165,CJHMOJ_00160,HCJMML_00165,LIMHLO_00160,JEILEN_00175,JBIPMC_00165,PEDMFB_00165,PMCJLP_00165,MIJGKE_00165,JCNBHB_00165,CGGMPE_00165,LOEDCI_00190,FNCLAJ_00165
group_3323,,Mga helix-turn-helix domain-containing protein,13,13,1.0,1,4860,,,,1491,1491,1491.0,FHNNJA_08940,CJHMOJ_05475,HCJMML_05965,LIMHLO_04915,JEILEN_06210,JBIPMC_06020,PEDMFB_09190,PMCJLP_05640,MIJGKE_09195,JCNBHB_09200,CGGMPE_09195,LOEDCI_05870,FNCLAJ_05645
group_3322,gldA,Alcohol dehydrogenase iron-type/glycerol dehydrogenase GldA domain-containing protein,13,13,1.0,1,4859,,,,1041,1041,1041.0,FHNNJA_07630,CJHMOJ_06785,HCJMML_07225,LIMHLO_06070,JEILEN_07500,JBIPMC_07300,PEDMFB_07975,PMCJLP_06955,MIJGKE_07980,JCNBHB_07980,CGGMPE_07975,LOEDCI_07145,FNCLAJ_06950
group_3321,,Cellulose synthase;hypothetical protein,13,14,1.0769230769230769,1,4858,,,,243,2067,1917.4285714285713,FHNNJA_11110,CJHMOJ_03590,HCJMML_04100,LIMHLO_03110,JEILEN_04080,JBIPMC_04145,PEDMFB_11250,PMCJLP_03895,MIJGKE_11250,JCNBHB_11260,CGGMPE_10960,LOEDCI_04070;LOEDCI_04075,FNCLAJ_03900
ydaL,;ydaL,DUF2334 domain-containing protein;putative metal-dependent carbohydrate esterase YdaL contains NodB-like catalytic (CE4) domain,13,13,1.0,1,4857,,,,1584,1584,1584.0,FHNNJA_11120,CJHMOJ_03580,HCJMML_04090,LIMHLO_03100,JEILEN_04070,JBIPMC_04135,PEDMFB_11260,PMCJLP_03885,MIJGKE_11260,JCNBHB_11270,CGGMPE_10970,LOEDCI_04060,FNCLAJ_03890
yktA,yktA,UPF0223 protein EF_2462,13,13,1.0,1,4855,,,,279,279,279.0,FHNNJA_04450,CJHMOJ_10110,HCJMML_10980,LIMHLO_08805,JEILEN_11145,JBIPMC_11080,PEDMFB_04565,PMCJLP_09945,MIJGKE_04570,JCNBHB_04565,CGGMPE_04565,LOEDCI_11285,FNCLAJ_10215
group_3318,,WxL domain-containing protein,13,14,1.0769230769230769,1,4853,,,,894,2289,2125.285714285714,FHNNJA_11945,CJHMOJ_02675,HCJMML_03275,LIMHLO_02265,JEILEN_03285;JEILEN_03280,JBIPMC_03315,PEDMFB_12315,PMCJLP_03060,MIJGKE_12315,JCNBHB_12325,CGGMPE_12025,LOEDCI_03290,FNCLAJ_03065
glxK,glxK,Glycerate kinase,13,13,1.0,1,4851,,,,1047,1149,1141.1538461538462,FHNNJA_03815,CJHMOJ_10740,HCJMML_11660,LIMHLO_09380,JEILEN_11800,JBIPMC_11760,PEDMFB_03860,PMCJLP_10585,MIJGKE_03860,JCNBHB_03860,CGGMPE_03860,LOEDCI_11930,FNCLAJ_10850
group_3314,acrR,DNA-binding protein AcrR family includes nucleoid occlusion protein SlmA,13,13,1.0,1,4847,,,,540,540,540.0,FHNNJA_07725,CJHMOJ_06690,HCJMML_07130,LIMHLO_05975,JEILEN_07405,JBIPMC_07205,PEDMFB_08075,PMCJLP_06860,MIJGKE_08080,JCNBHB_08080,CGGMPE_08075,LOEDCI_07050,FNCLAJ_06855
ywzB,ywzB,Uncharacterized membrane protein YwzB,13,13,1.0,1,4846,,,,237,237,237.0,FHNNJA_03985,CJHMOJ_10570,HCJMML_11490,LIMHLO_09210,JEILEN_11630,JBIPMC_11590,PEDMFB_04050,PMCJLP_10410,MIJGKE_04050,JCNBHB_04050,CGGMPE_04050,LOEDCI_11760,FNCLAJ_10680
group_3313,metC,Cystathionine beta-lyase/cystathionine gamma-synthase,13,13,1.0,1,4845,,,,1188,1188,1188.0,FHNNJA_01300,CJHMOJ_13985,HCJMML_14580,LIMHLO_12120,JEILEN_14975,JBIPMC_14680,PEDMFB_14805,PMCJLP_13805,MIJGKE_14740,JCNBHB_14745,CGGMPE_14445,LOEDCI_14495,FNCLAJ_14075
group_3312,,hypothetical protein,13,13,1.0,1,4844,,,,390,390,390.0,FHNNJA_09740,CJHMOJ_04650,HCJMML_05225,LIMHLO_04155,JEILEN_05225,JBIPMC_05280,PEDMFB_09920,PMCJLP_04940,MIJGKE_09925,JCNBHB_09930,CGGMPE_09925,LOEDCI_05140,FNCLAJ_04945
group_3311,yfhO,Uncharacterized membrane protein YfhO,13,13,1.0,1,4843,,,,2565,2565,2565.0,FHNNJA_02775,CJHMOJ_12135,HCJMML_12980,LIMHLO_10670,JEILEN_13465,JBIPMC_13085,PEDMFB_02450,PMCJLP_11680,MIJGKE_02450,JCNBHB_02450,CGGMPE_02450,LOEDCI_12995,FNCLAJ_11955
comGA,comGA,competence type IV pilus ATPase ComGA,13,13,1.0,1,4842,,,,969,969,969.0,FHNNJA_05830,CJHMOJ_08920,HCJMML_09575,LIMHLO_07785,JEILEN_09570,JBIPMC_09665,PEDMFB_05990,PMCJLP_08775,MIJGKE_05995,JCNBHB_05995,CGGMPE_05990,LOEDCI_09430,FNCLAJ_09040
clfA~~~fss2,clfA;;fss2,Clumping factor A-related surface protein MSCRAMM (microbial surface components recognizing adhesive matrix molecules) family DEv-IgG fold;Fibrinogen-binding MSCRAMM adhesin Fss2;LPXTG-motif cell wall anchor domain protein;bacterial Ig-like domain-containing protein;fibrinogen-binding MSCRAMM adhesin Fss2,13,14,1.0769230769230769,1,4841,,,,534,4953,4227.642857142857,FHNNJA_04285,CJHMOJ_10275,HCJMML_11195,LIMHLO_08990,JEILEN_11345,JBIPMC_11300,PEDMFB_04350,PMCJLP_10110,MIJGKE_04355;MIJGKE_04350,JCNBHB_04350,CGGMPE_04350,LOEDCI_11465,FNCLAJ_10380
group_3310,hipB,Transcriptional regulator contains XRE-family HTH domain,13,13,1.0,1,4840,,,,552,552,552.0,FHNNJA_04275,CJHMOJ_10285,HCJMML_11205,LIMHLO_09000,JEILEN_11355,JBIPMC_11310,PEDMFB_04340,PMCJLP_10120,MIJGKE_04340,JCNBHB_04340,CGGMPE_04340,LOEDCI_11475,FNCLAJ_10390
group_3309,,Cystathionine gamma-synthase;hypothetical protein;Cytosolic protein,13,15,1.1538461538461537,1,4839,,,,420,945,825.4,FHNNJA_06190,CJHMOJ_08255,HCJMML_08915,LIMHLO_07480,JEILEN_08940;JEILEN_08945,JBIPMC_08995;JBIPMC_09000,PEDMFB_06370,PMCJLP_08415,MIJGKE_06375,JCNBHB_06375,CGGMPE_06370,LOEDCI_08780,FNCLAJ_08410
group_3308,yjhB,ADP-ribose pyrophosphatase YjhB NUDIX family,13,13,1.0,1,4838,,,,567,609,605.7692307692307,FHNNJA_07450,CJHMOJ_06965,HCJMML_07405,LIMHLO_06250,JEILEN_07680,JBIPMC_07480,PEDMFB_07795,PMCJLP_07135,MIJGKE_07800,JCNBHB_07800,CGGMPE_07795,LOEDCI_07325,FNCLAJ_07130
group_3307,,DUF1093 domain-containing protein,13,13,1.0,1,4837,,,,402,402,402.0,FHNNJA_09620,CJHMOJ_04890,HCJMML_05360,LIMHLO_04260,JEILEN_05600,JBIPMC_05415,PEDMFB_09795,PMCJLP_05055,MIJGKE_09800,JCNBHB_09805,CGGMPE_09800,LOEDCI_05250,FNCLAJ_05060
group_3306,rimL,Protein N-acetyltransferase RimJ/RimL family,13,13,1.0,1,4836,,,,492,492,492.0,FHNNJA_01115,CJHMOJ_00965,HCJMML_01080,LIMHLO_00920,JEILEN_01105,JBIPMC_01090,PEDMFB_00925,PMCJLP_00970,MIJGKE_00925,JCNBHB_00925,CGGMPE_00925,LOEDCI_01215,FNCLAJ_00970
group_3305,traX,Conjugal transfer protein TraX,13,13,1.0,1,4835,,,,786,786,786.0,FHNNJA_03275,CJHMOJ_11325,HCJMML_12485,LIMHLO_09945,JEILEN_12660,JBIPMC_12590,PEDMFB_03270,PMCJLP_11170,MIJGKE_03270,JCNBHB_03270,CGGMPE_03270,LOEDCI_12500,FNCLAJ_11445
group_3304,aes,Acetyl esterase/lipase,13,13,1.0,1,4834,,,,975,975,975.0,FHNNJA_02695,CJHMOJ_12205,HCJMML_13165,LIMHLO_10740,JEILEN_13535,JBIPMC_13270,PEDMFB_02370,PMCJLP_12030,MIJGKE_02370,JCNBHB_02370,CGGMPE_02370,LOEDCI_13065,FNCLAJ_12305
fmt,fmt,methionyl-tRNA formyltransferase,13,13,1.0,1,4833,,,,942,942,942.0,FHNNJA_02050,CJHMOJ_13275,HCJMML_13895,LIMHLO_11405,JEILEN_14275,JBIPMC_14000,PEDMFB_01665,PMCJLP_13090,MIJGKE_01665,JCNBHB_01665,CGGMPE_01665,LOEDCI_13830,FNCLAJ_13360
group_3303,gph,Phosphoglycolate phosphatase HAD superfamily,13,13,1.0,1,4832,,,,654,726,709.3846153846154,FHNNJA_02835,CJHMOJ_12075,HCJMML_12920,LIMHLO_10390,JEILEN_13405,JBIPMC_13025,PEDMFB_02510,PMCJLP_11620,MIJGKE_02510,JCNBHB_02510,CGGMPE_02510,LOEDCI_12935,FNCLAJ_11895
group_3300,,DUF2750 domain-containing protein,13,13,1.0,1,4829,,,,336,336,336.0,FHNNJA_11810,CJHMOJ_02810,HCJMML_03410,LIMHLO_02400,JEILEN_03420,JBIPMC_03450,PEDMFB_11935,PMCJLP_03195,MIJGKE_11935,JCNBHB_11945,CGGMPE_11645,LOEDCI_03425,FNCLAJ_03200
group_3299,,VOC family protein,13,13,1.0,1,4828,,,,381,381,381.0,FHNNJA_11800,CJHMOJ_02820,HCJMML_03420,LIMHLO_02410,JEILEN_03430,JBIPMC_03460,PEDMFB_11925,PMCJLP_03205,MIJGKE_11925,JCNBHB_11935,CGGMPE_11635,LOEDCI_03435,FNCLAJ_03210
group_3298,sfcA,Malic enzyme,13,13,1.0,1,4827,,,,1173,1173,1173.0,FHNNJA_13995,CJHMOJ_14185,HCJMML_14785,LIMHLO_12315,JEILEN_15175,JBIPMC_14885,PEDMFB_15095,PMCJLP_14095,MIJGKE_15030,JCNBHB_15035,CGGMPE_14735,LOEDCI_14780,FNCLAJ_14365
group_3297,,LPXTG-motif cell wall anchor domain protein;Cell wall surface anchor family protein;Ig-like domain-containing protein,13,13,1.0,1,4826,,,,4917,4917,4917.0,FHNNJA_13980,CJHMOJ_14170,HCJMML_14770,LIMHLO_12305,JEILEN_15160,JBIPMC_14870,PEDMFB_14990,PMCJLP_13990,MIJGKE_14925,JCNBHB_14930,CGGMPE_14630,LOEDCI_14680,FNCLAJ_14260
group_3295,,Phage protein,13,13,1.0,1,4824,,,,162,162,162.0,FHNNJA_07360,CJHMOJ_07035,HCJMML_07475,LIMHLO_06310,JEILEN_07765,JBIPMC_07550,PEDMFB_07725,PMCJLP_07205,MIJGKE_07730,JCNBHB_07730,CGGMPE_07725,LOEDCI_07405,FNCLAJ_07200
group_3293,;nifJ,Pyruvate dehydrogenase (Ferredoxin/flavodoxin-dependent);Thiamine pyrophosphate enzyme TPP-binding domain-containing protein;pyruvate:ferredoxin (flavodoxin) oxidoreductase,13,14,1.0769230769230769,1,4822,,,,903,3534,3131.3571428571427,FHNNJA_04200;FHNNJA_04205,CJHMOJ_10355,HCJMML_11275,LIMHLO_09070,JEILEN_11420,JBIPMC_11380,PEDMFB_04270,PMCJLP_10190,MIJGKE_04270,JCNBHB_04270,CGGMPE_04270,LOEDCI_11545,FNCLAJ_10460
ddaH,ddaH,N-Dimethylarginine dimethylaminohydrolase,13,13,1.0,1,4821,,,,972,972,972.0,FHNNJA_02655,CJHMOJ_12245,HCJMML_13205,LIMHLO_10780,JEILEN_13575,JBIPMC_13310,PEDMFB_02330,PMCJLP_12070,MIJGKE_02330,JCNBHB_02330,CGGMPE_02330,LOEDCI_13105,FNCLAJ_12345
group_3292,ptsN,Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type),13,13,1.0,1,4820,,,,462,462,462.0,FHNNJA_12030,CJHMOJ_02590,HCJMML_03185,LIMHLO_02180,JEILEN_03195,JBIPMC_03225,PEDMFB_12400,PMCJLP_02975,MIJGKE_12400,JCNBHB_12410,CGGMPE_12110,LOEDCI_03205,FNCLAJ_02980
group_3291,;nagE,PTS system beta-glucoside-specific IIB component/PTS system beta-glucoside-specific IIC component/PTS system beta-glucoside-specific IIA component;Phosphotransferase system IIA component,13,13,1.0,1,4819,,,,1164,1899,1842.4615384615386,FHNNJA_13715,CJHMOJ_01230,HCJMML_01350,LIMHLO_01185,JEILEN_01370,JBIPMC_01360,PEDMFB_01190,PMCJLP_01235,MIJGKE_01190,JCNBHB_01190,CGGMPE_01190,LOEDCI_01480,FNCLAJ_01235
group_3290,gatA,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,13,13,1.0,1,4818,,,,1470,1479,1478.3076923076924,FHNNJA_11890,CJHMOJ_02730,HCJMML_03330,LIMHLO_02320,JEILEN_03340,JBIPMC_03370,PEDMFB_12260,PMCJLP_03115,MIJGKE_12260,JCNBHB_12270,CGGMPE_11970,LOEDCI_03345,FNCLAJ_03120
group_3289,hipB,Transcriptional regulator contains XRE-family HTH domain,13,13,1.0,1,4817,,,,351,351,351.0,FHNNJA_08200,CJHMOJ_06230,HCJMML_06675,LIMHLO_05580,JEILEN_06950,JBIPMC_06750,PEDMFB_08540,PMCJLP_06405,MIJGKE_08545,JCNBHB_08545,CGGMPE_08540,LOEDCI_06585,FNCLAJ_06400
group_3288,lepB,signal peptidase I,13,13,1.0,1,4816,,,,555,555,555.0,FHNNJA_06995,CJHMOJ_07385,HCJMML_07820,LIMHLO_06645,JEILEN_08145,JBIPMC_07900,PEDMFB_07350,PMCJLP_07550,MIJGKE_07355,JCNBHB_07355,CGGMPE_07350,LOEDCI_07785,FNCLAJ_07545
purM,purM,Phosphoribosylformylglycinamidine cyclo-ligase,13,13,1.0,1,4815,,,,1032,1032,1032.0,FHNNJA_06505,CJHMOJ_07875,HCJMML_08300,LIMHLO_07160,JEILEN_08635,JBIPMC_08380,PEDMFB_06875,PMCJLP_08045,MIJGKE_06880,JCNBHB_06880,CGGMPE_06875,LOEDCI_08275,FNCLAJ_08040
purL,purL,phosphoribosylformylglycinamidine synthase subunit PurL,13,13,1.0,1,4814,,,,2220,2220,2220.0,FHNNJA_06495,CJHMOJ_07885,HCJMML_08310,LIMHLO_07170,JEILEN_08645,JBIPMC_08390,PEDMFB_06865,PMCJLP_08055,MIJGKE_06870,JCNBHB_06870,CGGMPE_06865,LOEDCI_08285,FNCLAJ_08050
group_3287,gloA,Catechol 23-dioxygenase or related enzyme vicinal oxygen chelate (VOC) family,13,13,1.0,1,4813,,,,483,483,483.0,FHNNJA_12375,CJHMOJ_02245,HCJMML_02835,LIMHLO_01865,JEILEN_02855,JBIPMC_02875,PEDMFB_12880,PMCJLP_02625,MIJGKE_12810,JCNBHB_12820,CGGMPE_12520,LOEDCI_02875,FNCLAJ_02630
group_3286,gmk;,Guanylate kinase;hypothetical protein,13,13,1.0,1,4812,,,,441,570,560.0769230769231,FHNNJA_04030,CJHMOJ_10525,HCJMML_11445,LIMHLO_09160,JEILEN_11585,JBIPMC_11545,PEDMFB_04095,PMCJLP_10365,MIJGKE_04095,JCNBHB_04095,CGGMPE_04095,LOEDCI_11715,FNCLAJ_10635
