Gene,Non-unique Gene name,Annotation,CI-1049,CI-1104,CI-8010,CI-8050,DFI-250,DFI-266,EF-W12,EF-W2,EF-W3,EF-W4,EF-W5,EF-W6,EF-W8
group_3329,,DUF3955 domain-containing protein,FHNNJA_02925,CJHMOJ_11985,HCJMML_12830,LIMHLO_10300,JEILEN_13315,JBIPMC_12935,PEDMFB_02600,PMCJLP_11530,MIJGKE_02600,JCNBHB_02600,CGGMPE_02600,LOEDCI_12845,FNCLAJ_11805
yhgE,yhgE;,Uncharacterized membrane protein YhgE phage infection protein (PIP) family;Phage infection protein,FHNNJA_11255,CJHMOJ_03450,HCJMML_03960,LIMHLO_02975,JEILEN_03940,JBIPMC_04005,PEDMFB_11390,PMCJLP_03755,MIJGKE_11390,JCNBHB_11400,CGGMPE_11100,LOEDCI_03915,FNCLAJ_03760
group_3328,srlB,Phosphotransferase system sorbitol-specific IIA component,FHNNJA_04000,CJHMOJ_10555,HCJMML_11475,LIMHLO_09190,JEILEN_11615,JBIPMC_11575,PEDMFB_04065,PMCJLP_10395,MIJGKE_04065,JCNBHB_04065,CGGMPE_04065,LOEDCI_11745,FNCLAJ_10665
group_3327,pheA,prephenate dehydratase,FHNNJA_07545,CJHMOJ_06870,HCJMML_07310,LIMHLO_06155,JEILEN_07585,JBIPMC_07385,PEDMFB_07890,PMCJLP_07040,MIJGKE_07895,JCNBHB_07895,CGGMPE_07890,LOEDCI_07230,FNCLAJ_07035
arsC,arsC,Arsenate reductase or related protein glutaredoxin family,FHNNJA_04310,CJHMOJ_10255,HCJMML_11170,LIMHLO_08970,JEILEN_11325,JBIPMC_11275,PEDMFB_04370,PMCJLP_10090,MIJGKE_04375,JCNBHB_04370,CGGMPE_04370,LOEDCI_11430,FNCLAJ_10360
group_3326,abgB,Metal-dependent amidase/aminoacylase/carboxypeptidase,FHNNJA_01080,CJHMOJ_00920,HCJMML_01045,LIMHLO_00885,JEILEN_01070,JBIPMC_01055,PEDMFB_00890,PMCJLP_00925,MIJGKE_00890,JCNBHB_00890,CGGMPE_00890,LOEDCI_01180,FNCLAJ_00925
group_3325,,Ankyrin repeat domain-containing protein,FHNNJA_13455,CJHMOJ_01745,HCJMML_01600,LIMHLO_01450,JEILEN_01630,JBIPMC_01615,PEDMFB_01465,PMCJLP_01485,MIJGKE_01465,JCNBHB_01465,CGGMPE_01465,LOEDCI_01740,FNCLAJ_01485
bgsA,bgsA,cell wall glycolipid biosynthesis glucosyltransferase BgsA,FHNNJA_02970,CJHMOJ_11940,HCJMML_12790,LIMHLO_10255,JEILEN_13270,JBIPMC_12895,PEDMFB_02645,PMCJLP_11485,MIJGKE_02645,JCNBHB_02645,CGGMPE_02645,LOEDCI_12805,FNCLAJ_11760
allB,allB;,allantoinase AllB;Dihydroorotase,FHNNJA_02530,CJHMOJ_12370,HCJMML_13330,LIMHLO_10905;LIMHLO_10910,JEILEN_13700,JBIPMC_13435,PEDMFB_02205,PMCJLP_12195,MIJGKE_02205,JCNBHB_02205,CGGMPE_02205,LOEDCI_13230,FNCLAJ_12470
ysdA,ysdA,DUF1294 domain-containing protein,FHNNJA_08125,CJHMOJ_06300,HCJMML_06745,LIMHLO_05650,JEILEN_07020,JBIPMC_06820,PEDMFB_08465,PMCJLP_06475,MIJGKE_08470,JCNBHB_08470,CGGMPE_08465,LOEDCI_06655,FNCLAJ_06470
accB,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein,FHNNJA_03025,CJHMOJ_11885,HCJMML_12735,LIMHLO_10200,JEILEN_13215,JBIPMC_12840,PEDMFB_02700,PMCJLP_11430,MIJGKE_02700,JCNBHB_02700,CGGMPE_02700,LOEDCI_12750,FNCLAJ_11705
pEBP,pEBP,Uncharacterized conserved protein phosphatidylethanolamine-binding protein (PEBP) family,FHNNJA_05735,CJHMOJ_09010,HCJMML_09670,LIMHLO_07870,JEILEN_09660,JBIPMC_09760,PEDMFB_05900,PMCJLP_08865,MIJGKE_05905,JCNBHB_05905,CGGMPE_05900,LOEDCI_09520,FNCLAJ_09130
tsaC,tsaC,L-threonylcarbamoyladenylate synthase,FHNNJA_04235,CJHMOJ_10325,HCJMML_11245,LIMHLO_09040,JEILEN_11390,JBIPMC_11350,PEDMFB_04300,PMCJLP_10160,MIJGKE_04300,JCNBHB_04300,CGGMPE_04300,LOEDCI_11515,FNCLAJ_10430
yobV,yobV,putative DNA-binding transcriptional regulator YobV contains HTH and WYL domains,FHNNJA_00165,CJHMOJ_00160,HCJMML_00165,LIMHLO_00160,JEILEN_00175,JBIPMC_00165,PEDMFB_00165,PMCJLP_00165,MIJGKE_00165,JCNBHB_00165,CGGMPE_00165,LOEDCI_00190,FNCLAJ_00165
group_3323,,Mga helix-turn-helix domain-containing protein,FHNNJA_08940,CJHMOJ_05475,HCJMML_05965,LIMHLO_04915,JEILEN_06210,JBIPMC_06020,PEDMFB_09190,PMCJLP_05640,MIJGKE_09195,JCNBHB_09200,CGGMPE_09195,LOEDCI_05870,FNCLAJ_05645
group_3322,gldA,Alcohol dehydrogenase iron-type/glycerol dehydrogenase GldA domain-containing protein,FHNNJA_07630,CJHMOJ_06785,HCJMML_07225,LIMHLO_06070,JEILEN_07500,JBIPMC_07300,PEDMFB_07975,PMCJLP_06955,MIJGKE_07980,JCNBHB_07980,CGGMPE_07975,LOEDCI_07145,FNCLAJ_06950
group_3321,,Cellulose synthase;hypothetical protein,FHNNJA_11110,CJHMOJ_03590,HCJMML_04100,LIMHLO_03110,JEILEN_04080,JBIPMC_04145,PEDMFB_11250,PMCJLP_03895,MIJGKE_11250,JCNBHB_11260,CGGMPE_10960,LOEDCI_04070;LOEDCI_04075,FNCLAJ_03900
ydaL,;ydaL,DUF2334 domain-containing protein;putative metal-dependent carbohydrate esterase YdaL contains NodB-like catalytic (CE4) domain,FHNNJA_11120,CJHMOJ_03580,HCJMML_04090,LIMHLO_03100,JEILEN_04070,JBIPMC_04135,PEDMFB_11260,PMCJLP_03885,MIJGKE_11260,JCNBHB_11270,CGGMPE_10970,LOEDCI_04060,FNCLAJ_03890
yktA,yktA,UPF0223 protein EF_2462,FHNNJA_04450,CJHMOJ_10110,HCJMML_10980,LIMHLO_08805,JEILEN_11145,JBIPMC_11080,PEDMFB_04565,PMCJLP_09945,MIJGKE_04570,JCNBHB_04565,CGGMPE_04565,LOEDCI_11285,FNCLAJ_10215
group_3318,,WxL domain-containing protein,FHNNJA_11945,CJHMOJ_02675,HCJMML_03275,LIMHLO_02265,JEILEN_03285;JEILEN_03280,JBIPMC_03315,PEDMFB_12315,PMCJLP_03060,MIJGKE_12315,JCNBHB_12325,CGGMPE_12025,LOEDCI_03290,FNCLAJ_03065
glxK,glxK,Glycerate kinase,FHNNJA_03815,CJHMOJ_10740,HCJMML_11660,LIMHLO_09380,JEILEN_11800,JBIPMC_11760,PEDMFB_03860,PMCJLP_10585,MIJGKE_03860,JCNBHB_03860,CGGMPE_03860,LOEDCI_11930,FNCLAJ_10850
group_3314,acrR,DNA-binding protein AcrR family includes nucleoid occlusion protein SlmA,FHNNJA_07725,CJHMOJ_06690,HCJMML_07130,LIMHLO_05975,JEILEN_07405,JBIPMC_07205,PEDMFB_08075,PMCJLP_06860,MIJGKE_08080,JCNBHB_08080,CGGMPE_08075,LOEDCI_07050,FNCLAJ_06855
ywzB,ywzB,Uncharacterized membrane protein YwzB,FHNNJA_03985,CJHMOJ_10570,HCJMML_11490,LIMHLO_09210,JEILEN_11630,JBIPMC_11590,PEDMFB_04050,PMCJLP_10410,MIJGKE_04050,JCNBHB_04050,CGGMPE_04050,LOEDCI_11760,FNCLAJ_10680
group_3313,metC,Cystathionine beta-lyase/cystathionine gamma-synthase,FHNNJA_01300,CJHMOJ_13985,HCJMML_14580,LIMHLO_12120,JEILEN_14975,JBIPMC_14680,PEDMFB_14805,PMCJLP_13805,MIJGKE_14740,JCNBHB_14745,CGGMPE_14445,LOEDCI_14495,FNCLAJ_14075
group_3312,,hypothetical protein,FHNNJA_09740,CJHMOJ_04650,HCJMML_05225,LIMHLO_04155,JEILEN_05225,JBIPMC_05280,PEDMFB_09920,PMCJLP_04940,MIJGKE_09925,JCNBHB_09930,CGGMPE_09925,LOEDCI_05140,FNCLAJ_04945
group_3311,yfhO,Uncharacterized membrane protein YfhO,FHNNJA_02775,CJHMOJ_12135,HCJMML_12980,LIMHLO_10670,JEILEN_13465,JBIPMC_13085,PEDMFB_02450,PMCJLP_11680,MIJGKE_02450,JCNBHB_02450,CGGMPE_02450,LOEDCI_12995,FNCLAJ_11955
comGA,comGA,competence type IV pilus ATPase ComGA,FHNNJA_05830,CJHMOJ_08920,HCJMML_09575,LIMHLO_07785,JEILEN_09570,JBIPMC_09665,PEDMFB_05990,PMCJLP_08775,MIJGKE_05995,JCNBHB_05995,CGGMPE_05990,LOEDCI_09430,FNCLAJ_09040
clfA~~~fss2,clfA;;fss2,Clumping factor A-related surface protein MSCRAMM (microbial surface components recognizing adhesive matrix molecules) family DEv-IgG fold;Fibrinogen-binding MSCRAMM adhesin Fss2;LPXTG-motif cell wall anchor domain protein;bacterial Ig-like domain-containing protein;fibrinogen-binding MSCRAMM adhesin Fss2,FHNNJA_04285,CJHMOJ_10275,HCJMML_11195,LIMHLO_08990,JEILEN_11345,JBIPMC_11300,PEDMFB_04350,PMCJLP_10110,MIJGKE_04355;MIJGKE_04350,JCNBHB_04350,CGGMPE_04350,LOEDCI_11465,FNCLAJ_10380
group_3310,hipB,Transcriptional regulator contains XRE-family HTH domain,FHNNJA_04275,CJHMOJ_10285,HCJMML_11205,LIMHLO_09000,JEILEN_11355,JBIPMC_11310,PEDMFB_04340,PMCJLP_10120,MIJGKE_04340,JCNBHB_04340,CGGMPE_04340,LOEDCI_11475,FNCLAJ_10390
group_3309,,Cystathionine gamma-synthase;hypothetical protein;Cytosolic protein,FHNNJA_06190,CJHMOJ_08255,HCJMML_08915,LIMHLO_07480,JEILEN_08940;JEILEN_08945,JBIPMC_08995;JBIPMC_09000,PEDMFB_06370,PMCJLP_08415,MIJGKE_06375,JCNBHB_06375,CGGMPE_06370,LOEDCI_08780,FNCLAJ_08410
group_3308,yjhB,ADP-ribose pyrophosphatase YjhB NUDIX family,FHNNJA_07450,CJHMOJ_06965,HCJMML_07405,LIMHLO_06250,JEILEN_07680,JBIPMC_07480,PEDMFB_07795,PMCJLP_07135,MIJGKE_07800,JCNBHB_07800,CGGMPE_07795,LOEDCI_07325,FNCLAJ_07130
group_3307,,DUF1093 domain-containing protein,FHNNJA_09620,CJHMOJ_04890,HCJMML_05360,LIMHLO_04260,JEILEN_05600,JBIPMC_05415,PEDMFB_09795,PMCJLP_05055,MIJGKE_09800,JCNBHB_09805,CGGMPE_09800,LOEDCI_05250,FNCLAJ_05060
group_3306,rimL,Protein N-acetyltransferase RimJ/RimL family,FHNNJA_01115,CJHMOJ_00965,HCJMML_01080,LIMHLO_00920,JEILEN_01105,JBIPMC_01090,PEDMFB_00925,PMCJLP_00970,MIJGKE_00925,JCNBHB_00925,CGGMPE_00925,LOEDCI_01215,FNCLAJ_00970
group_3305,traX,Conjugal transfer protein TraX,FHNNJA_03275,CJHMOJ_11325,HCJMML_12485,LIMHLO_09945,JEILEN_12660,JBIPMC_12590,PEDMFB_03270,PMCJLP_11170,MIJGKE_03270,JCNBHB_03270,CGGMPE_03270,LOEDCI_12500,FNCLAJ_11445
group_3304,aes,Acetyl esterase/lipase,FHNNJA_02695,CJHMOJ_12205,HCJMML_13165,LIMHLO_10740,JEILEN_13535,JBIPMC_13270,PEDMFB_02370,PMCJLP_12030,MIJGKE_02370,JCNBHB_02370,CGGMPE_02370,LOEDCI_13065,FNCLAJ_12305
fmt,fmt,methionyl-tRNA formyltransferase,FHNNJA_02050,CJHMOJ_13275,HCJMML_13895,LIMHLO_11405,JEILEN_14275,JBIPMC_14000,PEDMFB_01665,PMCJLP_13090,MIJGKE_01665,JCNBHB_01665,CGGMPE_01665,LOEDCI_13830,FNCLAJ_13360
group_3303,gph,Phosphoglycolate phosphatase HAD superfamily,FHNNJA_02835,CJHMOJ_12075,HCJMML_12920,LIMHLO_10390,JEILEN_13405,JBIPMC_13025,PEDMFB_02510,PMCJLP_11620,MIJGKE_02510,JCNBHB_02510,CGGMPE_02510,LOEDCI_12935,FNCLAJ_11895
group_3300,,DUF2750 domain-containing protein,FHNNJA_11810,CJHMOJ_02810,HCJMML_03410,LIMHLO_02400,JEILEN_03420,JBIPMC_03450,PEDMFB_11935,PMCJLP_03195,MIJGKE_11935,JCNBHB_11945,CGGMPE_11645,LOEDCI_03425,FNCLAJ_03200
group_3299,,VOC family protein,FHNNJA_11800,CJHMOJ_02820,HCJMML_03420,LIMHLO_02410,JEILEN_03430,JBIPMC_03460,PEDMFB_11925,PMCJLP_03205,MIJGKE_11925,JCNBHB_11935,CGGMPE_11635,LOEDCI_03435,FNCLAJ_03210
group_3298,sfcA,Malic enzyme,FHNNJA_13995,CJHMOJ_14185,HCJMML_14785,LIMHLO_12315,JEILEN_15175,JBIPMC_14885,PEDMFB_15095,PMCJLP_14095,MIJGKE_15030,JCNBHB_15035,CGGMPE_14735,LOEDCI_14780,FNCLAJ_14365
group_3297,,LPXTG-motif cell wall anchor domain protein;Cell wall surface anchor family protein;Ig-like domain-containing protein,FHNNJA_13980,CJHMOJ_14170,HCJMML_14770,LIMHLO_12305,JEILEN_15160,JBIPMC_14870,PEDMFB_14990,PMCJLP_13990,MIJGKE_14925,JCNBHB_14930,CGGMPE_14630,LOEDCI_14680,FNCLAJ_14260
group_3295,,Phage protein,FHNNJA_07360,CJHMOJ_07035,HCJMML_07475,LIMHLO_06310,JEILEN_07765,JBIPMC_07550,PEDMFB_07725,PMCJLP_07205,MIJGKE_07730,JCNBHB_07730,CGGMPE_07725,LOEDCI_07405,FNCLAJ_07200
group_3293,;nifJ,Pyruvate dehydrogenase (Ferredoxin/flavodoxin-dependent);Thiamine pyrophosphate enzyme TPP-binding domain-containing protein;pyruvate:ferredoxin (flavodoxin) oxidoreductase,FHNNJA_04200;FHNNJA_04205,CJHMOJ_10355,HCJMML_11275,LIMHLO_09070,JEILEN_11420,JBIPMC_11380,PEDMFB_04270,PMCJLP_10190,MIJGKE_04270,JCNBHB_04270,CGGMPE_04270,LOEDCI_11545,FNCLAJ_10460
ddaH,ddaH,N-Dimethylarginine dimethylaminohydrolase,FHNNJA_02655,CJHMOJ_12245,HCJMML_13205,LIMHLO_10780,JEILEN_13575,JBIPMC_13310,PEDMFB_02330,PMCJLP_12070,MIJGKE_02330,JCNBHB_02330,CGGMPE_02330,LOEDCI_13105,FNCLAJ_12345
group_3292,ptsN,Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type),FHNNJA_12030,CJHMOJ_02590,HCJMML_03185,LIMHLO_02180,JEILEN_03195,JBIPMC_03225,PEDMFB_12400,PMCJLP_02975,MIJGKE_12400,JCNBHB_12410,CGGMPE_12110,LOEDCI_03205,FNCLAJ_02980
group_3291,;nagE,PTS system beta-glucoside-specific IIB component/PTS system beta-glucoside-specific IIC component/PTS system beta-glucoside-specific IIA component;Phosphotransferase system IIA component,FHNNJA_13715,CJHMOJ_01230,HCJMML_01350,LIMHLO_01185,JEILEN_01370,JBIPMC_01360,PEDMFB_01190,PMCJLP_01235,MIJGKE_01190,JCNBHB_01190,CGGMPE_01190,LOEDCI_01480,FNCLAJ_01235
group_3290,gatA,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,FHNNJA_11890,CJHMOJ_02730,HCJMML_03330,LIMHLO_02320,JEILEN_03340,JBIPMC_03370,PEDMFB_12260,PMCJLP_03115,MIJGKE_12260,JCNBHB_12270,CGGMPE_11970,LOEDCI_03345,FNCLAJ_03120
group_3289,hipB,Transcriptional regulator contains XRE-family HTH domain,FHNNJA_08200,CJHMOJ_06230,HCJMML_06675,LIMHLO_05580,JEILEN_06950,JBIPMC_06750,PEDMFB_08540,PMCJLP_06405,MIJGKE_08545,JCNBHB_08545,CGGMPE_08540,LOEDCI_06585,FNCLAJ_06400
group_3288,lepB,signal peptidase I,FHNNJA_06995,CJHMOJ_07385,HCJMML_07820,LIMHLO_06645,JEILEN_08145,JBIPMC_07900,PEDMFB_07350,PMCJLP_07550,MIJGKE_07355,JCNBHB_07355,CGGMPE_07350,LOEDCI_07785,FNCLAJ_07545
purM,purM,Phosphoribosylformylglycinamidine cyclo-ligase,FHNNJA_06505,CJHMOJ_07875,HCJMML_08300,LIMHLO_07160,JEILEN_08635,JBIPMC_08380,PEDMFB_06875,PMCJLP_08045,MIJGKE_06880,JCNBHB_06880,CGGMPE_06875,LOEDCI_08275,FNCLAJ_08040
purL,purL,phosphoribosylformylglycinamidine synthase subunit PurL,FHNNJA_06495,CJHMOJ_07885,HCJMML_08310,LIMHLO_07170,JEILEN_08645,JBIPMC_08390,PEDMFB_06865,PMCJLP_08055,MIJGKE_06870,JCNBHB_06870,CGGMPE_06865,LOEDCI_08285,FNCLAJ_08050
group_3287,gloA,Catechol 23-dioxygenase or related enzyme vicinal oxygen chelate (VOC) family,FHNNJA_12375,CJHMOJ_02245,HCJMML_02835,LIMHLO_01865,JEILEN_02855,JBIPMC_02875,PEDMFB_12880,PMCJLP_02625,MIJGKE_12810,JCNBHB_12820,CGGMPE_12520,LOEDCI_02875,FNCLAJ_02630
group_3286,gmk;,Guanylate kinase;hypothetical protein,FHNNJA_04030,CJHMOJ_10525,HCJMML_11445,LIMHLO_09160,JEILEN_11585,JBIPMC_11545,PEDMFB_04095,PMCJLP_10365,MIJGKE_04095,JCNBHB_04095,CGGMPE_04095,LOEDCI_11715,FNCLAJ_10635
ant6,ant(6),Aminoglycoside 6-adenylyltransferase,FHNNJA_03110,CJHMOJ_11800,HCJMML_12650,LIMHLO_10115,JEILEN_13130,JBIPMC_12755,PEDMFB_02785,PMCJLP_11345,MIJGKE_02785,JCNBHB_02785,CGGMPE_02785,LOEDCI_12665,FNCLAJ_11620
group_3285,,OmpR/PhoB-type domain-containing protein,FHNNJA_02595,CJHMOJ_12305,HCJMML_13265,LIMHLO_10840,JEILEN_13635,JBIPMC_13370,PEDMFB_02270,PMCJLP_12130,MIJGKE_02270,JCNBHB_02270,CGGMPE_02270,LOEDCI_13165,FNCLAJ_12405
group_3284,mreD,rod shape-determining protein MreD,FHNNJA_02310,CJHMOJ_12975,HCJMML_13600,LIMHLO_11120,JEILEN_13990,JBIPMC_13705,PEDMFB_01920,PMCJLP_12805,MIJGKE_01920,JCNBHB_01920,CGGMPE_01920,LOEDCI_13535,FNCLAJ_13075
group_3283,,PTS system beta-glucoside-specific IIABC component,FHNNJA_07350,CJHMOJ_07045,HCJMML_07485,LIMHLO_06320,JEILEN_07775,JBIPMC_07560,PEDMFB_07715,PMCJLP_07215,MIJGKE_07720,JCNBHB_07720,CGGMPE_07715,LOEDCI_07415,FNCLAJ_07210
group_3282,gloA,Catechol 23-dioxygenase or related enzyme vicinal oxygen chelate (VOC) family,FHNNJA_05035,CJHMOJ_09410,HCJMML_10070,LIMHLO_08250,JEILEN_10360,JBIPMC_10160,PEDMFB_05190,PMCJLP_09265,MIJGKE_05195,JCNBHB_05195,CGGMPE_05190,LOEDCI_10550,FNCLAJ_09530
group_3281,,ABC transporter ATP-binding protein,FHNNJA_08780,CJHMOJ_05650,HCJMML_06125,LIMHLO_05070,JEILEN_06380,JBIPMC_06185,PEDMFB_09035,PMCJLP_05810,MIJGKE_09040,JCNBHB_09040,CGGMPE_09035,LOEDCI_06030,FNCLAJ_05815
lutC,lutC,L-lactate utilization protein LutC contains LUD domain,FHNNJA_09590,CJHMOJ_04920,HCJMML_05390,LIMHLO_04290,JEILEN_05630,JBIPMC_05445,PEDMFB_09765,PMCJLP_05085,MIJGKE_09770,JCNBHB_09775,CGGMPE_09770,LOEDCI_05280,FNCLAJ_05090
group_3280,,DUF4811 domain-containing protein,FHNNJA_13260,CJHMOJ_01930,HCJMML_01780,LIMHLO_01630,JEILEN_01820,JBIPMC_01795,PEDMFB_14035,PMCJLP_01670,MIJGKE_13970,JCNBHB_13975,CGGMPE_13675,LOEDCI_01945,FNCLAJ_01670
group_3279,,Membrane protein 6-pyruvoyl-tetrahydropterin synthase-related domain-containing protein,FHNNJA_13890,CJHMOJ_14080,HCJMML_14675,LIMHLO_12215,JEILEN_15070,JBIPMC_14775,PEDMFB_14900,PMCJLP_13900,MIJGKE_14835,JCNBHB_14840,CGGMPE_14540,LOEDCI_14590,FNCLAJ_14170
group_3278,,Surface antigen,FHNNJA_01155,CJHMOJ_01005,HCJMML_01120,LIMHLO_00960,JEILEN_01145,JBIPMC_01130,PEDMFB_00965,PMCJLP_01010,MIJGKE_00965,JCNBHB_00965,CGGMPE_00965,LOEDCI_01255,FNCLAJ_01010
group_3277,galE,UDP-glucose 4-epimerase GalE,FHNNJA_09790,CJHMOJ_04600,HCJMML_05180,LIMHLO_04110,JEILEN_05180,JBIPMC_05235,PEDMFB_09970,PMCJLP_04890,MIJGKE_09975,JCNBHB_09980,CGGMPE_09975,LOEDCI_05090,FNCLAJ_04895
group_3276,rimI,Ribosomal protein S18 acetylase RimI and related acetyltransferases,FHNNJA_02520,CJHMOJ_12380,HCJMML_13340,LIMHLO_10920,JEILEN_13710,JBIPMC_13445,PEDMFB_02195,PMCJLP_12205,MIJGKE_02195,JCNBHB_02195,CGGMPE_02195,LOEDCI_13240,FNCLAJ_12480
ebgA,ebgA,beta-galactosidase subunit alpha,FHNNJA_03545,CJHMOJ_11045,HCJMML_12215,LIMHLO_09670,JEILEN_12095,JBIPMC_12320,PEDMFB_03555,PMCJLP_10890,MIJGKE_03555,JCNBHB_03555,CGGMPE_03555,LOEDCI_12225,FNCLAJ_11165
