protein	length	mean_plddt	ptm
Ef-P10-208_CDS_0179_hypothetical_protein	153	91.34	0.74
Ef-P10-208_CDS_0180_hypothetical_protein	58	54.88	0.34
Ef-P10-208_CDS_0181_hypothetical_protein	64	92.68	0.75
Ef-P10-208_CDS_0182_hypothetical_protein	145	73.79	0.63
Ef-P10-208_CDS_0183_phosphoesterase	227	94.78	0.91
Ef-P10-208_CDS_0184_hypothetical_protein	159	61.12	0.47
Ef-P10-208_CDS_0185_hypothetical_protein	83	87.17	0.74
Ef-P10-208_CDS_0186_phosphoesterase	203	93.62	0.9
Ef-P10-208_CDS_0187_membrane_protein	105	97.61	0.88
Ef-P10-208_CDS_0188_hypothetical_protein	38	59.76	0.26
Ef-P10-208_CDS_0189_hypothetical_protein	70	91.1	0.76
Ef-P10-208_CDS_0190_hypothetical_protein	137	90.57	0.5
Ef-P10-208_CDS_0191_hypothetical_protein	127	68.83	0.53
Ef-P10-208_CDS_0192_hypothetical_protein	195	84.03	0.43
Ef-P10-208_CDS_0193_hypothetical_protein	57	74.67	0.41
Ef-P10-208_CDS_0194_hypothetical_protein	114	90.28	0.58
Ef-P10-208_CDS_0195_hypothetical_protein	84	85.1	0.73
Ef-P10-208_CDS_0196_hypothetical_protein	84	82.39	0.59
Ef-P10-208_CDS_0197_hypothetical_protein	111	83.6	0.58
Ef-P10-208_CDS_0198_hypothetical_protein	145	84.84	0.66
Ef-P10-208_CDS_0199_hypothetical_protein	153	85.04	0.82
Ef-P10-208_CDS_0200_hypothetical_protein	84	77.44	0.66
Ef-P10-208_CDS_0201_hypothetical_protein	73	52.57	0.32
Ef-P10-208_CDS_0202_hypothetical_protein	143	87.25	0.71
Ef-P10-208_CDS_0203_hypothetical_protein	76	89.26	0.58
Ef-P10-208_CDS_0204_hypothetical_protein	143	82.4	0.51
Ef-P10-208_CDS_0205_hypothetical_protein	50	94.47	0.54
Ef-P10-208_CDS_0206_thymidylate_synthase	315	95.52	0.93
Ef-P10-208_CDS_0207_hypothetical_protein	128	94.99	0.86
Ef-P10-208_CDS_0208_hypothetical_protein	49	76.81	0.42
Ef-P10-208_CDS_0209_lipoprotein	285	88.36	0.66
Ef-P10-208_CDS_0210_ribonucleoside_diphosphate_reductase_small_subunit	327	90.89	0.85
Ef-P10-208_CDS_0211_ribonucleoside-diphosphate_reductase_large_subunit	716	92.75	0.93
Ef-P10-208_CDS_0212_thioredoxin_domain	80	83.63	0.66
Ef-P10-208_CDS_0213_hypothetical_protein	68	67.34	0.4
Ef-P10-208_CDS_0214_hypothetical_protein	101	63.26	0.43
Ef-P10-208_CDS_0215_transcriptional_repressor	76	89.53	0.76
Ef-P10-208_CDS_0216_hypothetical_protein	74	89.95	0.61
Ef-P10-208_CDS_0217_hypothetical_protein	94	72.6	0.62
Ef-P10-208_CDS_0218_ATPase	363	86.4	0.78
Ef-P10-208_CDS_0219_hypothetical_protein	51	43.11	0.16
Ef-P10-208_CDS_0220_hypothetical_protein	48	61.91	0.25
Ef-P10-208_CDS_0221_hypothetical_protein	35	95.04	0.51
Ef-P10-208_CDS_0222_hypothetical_protein	60	62.41	0.36
Ef-P10-208_CDS_0223_hypothetical_protein	42	72.19	0.36
Ef-P10-208_CDS_0224_hypothetical_protein	40	77.19	0.39
Ef-P10-208_CDS_0225_hypothetical_protein	36	77.26	0.43
Ef-P10-208_CDS_0226_hypothetical_protein	33	59.43	0.25
Ef-P10-208_CDS_0227_hypothetical_protein	40	56.69	0.21
Ef-P10-208_CDS_0228_hypothetical_protein	51	52.58	0.27
Ef-P10-208_CDS_0229_hypothetical_protein	36	92.14	0.51
Ef-P10-208_CDS_0230_hypothetical_protein	30	92.85	0.46
Ef-P10-208_CDS_0231_hypothetical_protein	30	92.85	0.46
Ef-P10-208_CDS_0232_virion_structural_protein	112	91.18	0.81
Ef-P10-208_CDS_0233_hemolysin	114	78.53	0.68
Ef-P10-208_CDS_0234_membrane_protein	86	85.41	0.66
Ef-P10-208_CDS_0235_membrane_protein	89	68.05	0.3
Ef-P10-208_CDS_0236_hypothetical_protein	92	93.54	0.84
Ef-P10-208_CDS_0237_terminase_small_subunit	142	61.37	0.35
Ef-P10-208_CDS_0238_terminase_large_subunit	122	88.01	0.76
Ef-P10-208_CDS_0239_hypothetical_protein	45	68.1	0.33
