protein	length	mean_plddt	ptm
Ef-P16-208_CDS_0053_hypothetical_protein	102	32.59	0.21
Ef-P16-208_CDS_0054_hypothetical_protein	103	86.82	0.55
Ef-P16-208_CDS_0055_hypothetical_protein	123	87.59	0.54
Ef-P16-208_CDS_0056_RusA-like_Holliday_junction_resolvase	222	88.78	0.82
Ef-P16-208_CDS_0057_hypothetical_protein	99	90.31	0.79
Ef-P16-208_CDS_0058_hypothetical_protein	159	79.46	0.7
Ef-P16-208_CDS_0059_hypothetical_protein	264	86.15	0.81
Ef-P16-208_CDS_0060_DNA_binding_protein	103	94.39	0.74
Ef-P16-208_CDS_0061_DNA_polymerase	796	88.82	0.82
Ef-P16-208_CDS_0062_hypothetical_protein	32	70.99	0.35
Ef-P16-208_CDS_0063_hypothetical_protein	34	67.78	0.24
Ef-P16-208_CDS_0064_hypothetical_protein	29	87.55	0.4
Ef-P16-208_CDS_0065_hypothetical_protein	34	59.56	0.26
Ef-P16-208_CDS_0066_DNA_polymerase	159	87.83	0.74
Ef-P16-208_CDS_0067_hypothetical_protein	180	87.51	0.75
Ef-P16-208_CDS_0068_single_strand_DNA_binding_protein	429	70.94	0.61
Ef-P16-208_CDS_0069_UvsX-like_recombinase	415	81.34	0.82
Ef-P16-208_CDS_0070_hypothetical_protein	104	86.33	0.77
Ef-P16-208_CDS_0071_RNA_polymerase_sigma_factor	204	76.32	0.47
Ef-P16-208_CDS_0072_holin	91	85.0	0.51
Ef-P16-208_CDS_0073_structural_protein_with_Ig_domain	320	90.9	0.73
Ef-P16-208_CDS_0074_Ig_domain_containing_protein	147	86.8	0.85
Ef-P16-208_CDS_0075_hypothetical_protein	101	71.86	0.53
Ef-P16-208_CDS_0076_exopolyphosphatase	317	89.18	0.84
Ef-P16-208_CDS_0077_exonuclease	427	86.11	0.68
Ef-P16-208_CDS_0078_hypothetical_protein	124	90.1	0.75
Ef-P16-208_CDS_0079_hypothetical_protein	206	84.15	0.73
Ef-P16-208_CDS_0080_hypothetical_protein	246	83.92	0.83
Ef-P16-208_CDS_0081_hypothetical_protein	168	79.28	0.63
Ef-P16-208_CDS_0082_hypothetical_protein	116	90.91	0.82
Ef-P16-208_CDS_0083_hypothetical_protein	285	88.96	0.87
Ef-P16-208_CDS_0084_hypothetical_protein	281	90.57	0.89
Ef-P16-208_CDS_0085_hypothetical_protein	542	90.5	0.82
Ef-P16-208_CDS_0086_hypothetical_protein	32	81.46	0.34
Ef-P16-208_CDS_0087_hypothetical_protein	229	76.77	0.4
Ef-P16-208_CDS_0088_virion_structural_protein	155	87.99	0.8
Ef-P16-208_CDS_0089_hypothetical_protein	760	57.28	0.38
Ef-P16-208_CDS_0090_hypothetical_protein	58	71.83	0.37
Ef-P16-208_CDS_0091_hypothetical_protein	168	54.69	0.28
Ef-P16-208_CDS_0092_hypothetical_protein	56	88.96	0.6
Ef-P16-208_CDS_0093_hypothetical_protein	90	63.37	0.41
Ef-P16-208_CDS_0094_transcriptional_repressor	83	90.72	0.79
Ef-P16-208_CDS_0095_hypothetical_protein	95	86.34	0.71
Ef-P16-208_CDS_0096_hypothetical_protein	262	86.33	0.87
Ef-P16-208_CDS_0097_hypothetical_protein	357	52.49	0.36
Ef-P16-208_CDS_0098_hypothetical_protein	100	93.38	0.86
Ef-P16-208_CDS_0099_hypothetical_protein	100	73.87	0.56
Ef-P16-208_CDS_0100_hypothetical_protein	97	82.84	0.62
Ef-P16-208_CDS_0101_hypothetical_protein	59	92.9	0.6
Ef-P16-208_CDS_0102_hypothetical_protein	121	90.98	0.8
Ef-P16-208_CDS_0103_hypothetical_protein	125	61.43	0.31
Ef-P16-208_CDS_0104_hypothetical_protein	76	87.71	0.6
Ef-P16-208_CDS_0105_hypothetical_protein	124	90.43	0.59
Ef-P16-208_CDS_0106_hypothetical_protein	85	58.43	0.35
Ef-P16-208_CDS_0107_hypothetical_protein	186	82.4	0.37
Ef-P16-208_CDS_0108_hypothetical_protein	298	79.69	0.51
Ef-P16-208_CDS_0109_hypothetical_protein	209	64.45	0.55
Ef-P16-208_CDS_0110_hypothetical_protein	38	72.98	0.33
Ef-P16-208_CDS_0111_hypothetical_protein	52	66.52	0.45
Ef-P16-208_CDS_0112_hypothetical_protein	47	67.72	0.35
Ef-P16-208_CDS_0113_hypothetical_protein	64	75.12	0.47
Ef-P16-208_CDS_0114_hypothetical_protein	216	53.75	0.35
Ef-P16-208_CDS_0115_hypothetical_protein	147	45.63	0.35
Ef-P16-208_CDS_0116_hypothetical_protein	148	44.11	0.34
Ef-P16-208_CDS_0117_hypothetical_protein	43	67.02	0.35
Ef-P16-208_CDS_0118_hypothetical_protein	99	71.73	0.63
Ef-P16-208_CDS_0119_hypothetical_protein	109	86.89	0.76
Ef-P16-208_CDS_0120_hypothetical_protein	46	94.3	0.58
Ef-P16-208_CDS_0121_hypothetical_protein	68	72.96	0.42
Ef-P16-208_CDS_0122_hypothetical_protein	82	87.27	0.76
Ef-P16-208_CDS_0123_hypothetical_protein	81	96.33	0.86
Ef-P16-208_CDS_0124_hypothetical_protein	76	93.12	0.79
Ef-P16-208_CDS_0125_hypothetical_protein	68	93.12	0.78
Ef-P16-208_CDS_0126_hypothetical_protein	56	86.16	0.64
Ef-P16-208_CDS_0127_hypothetical_protein	101	80.83	0.71
Ef-P16-208_CDS_0128_hypothetical_protein	143	96.33	0.69
Ef-P16-208_CDS_0129_hypothetical_protein	70	72.96	0.6
Ef-P16-208_CDS_0130_hypothetical_protein	101	69.2	0.32
Ef-P16-208_CDS_0131_hypothetical_protein	33	80.0	0.38
Ef-P16-208_CDS_0132_hypothetical_protein	119	75.18	0.66
Ef-P16-208_CDS_0133_hypothetical_protein	33	90.82	0.48
Ef-P16-208_CDS_0134_hypothetical_protein	34	90.39	0.5
Ef-P16-208_CDS_0135_hypothetical_protein	90	61.32	0.51
Ef-P16-208_CDS_0136_hypothetical_protein	103	83.8	0.75
Ef-P16-208_CDS_0137_hypothetical_protein	74	85.22	0.67
Ef-P16-208_CDS_0138_hypothetical_protein	231	88.85	0.86
Ef-P16-208_CDS_0139_hypothetical_protein	57	66.16	0.28
Ef-P16-208_CDS_0140_hypothetical_protein	91	95.92	0.85
Ef-P16-208_CDS_0141_hypothetical_protein	37	70.64	0.38
Ef-P16-208_CDS_0142_hypothetical_protein	88	66.88	0.54
Ef-P16-208_CDS_0143_hypothetical_protein	55	71.34	0.38
Ef-P16-208_CDS_0144_hypothetical_protein	106	63.1	0.59
Ef-P16-208_CDS_0145_membrane_protein	103	89.31	0.75
Ef-P16-208_CDS_0146_hypothetical_protein	31	60.39	0.24
Ef-P16-208_CDS_0147_hypothetical_protein	240	92.53	0.91
Ef-P16-208_CDS_0148_hypothetical_protein	89	73.28	0.36
Ef-P16-208_CDS_0149_hypothetical_protein	101	79.7	0.7
Ef-P16-208_CDS_0150_hypothetical_protein	34	77.56	0.41
Ef-P16-208_CDS_0151_hypothetical_protein	54	61.88	0.34
Ef-P16-208_CDS_0152_hypothetical_protein	74	76.49	0.61
Ef-P16-208_CDS_0153_hypothetical_protein	83	77.05	0.68
Ef-P16-208_CDS_0154_hypothetical_protein	126	90.43	0.79
Ef-P16-208_CDS_0155_hypothetical_protein	52	92.16	0.62
Ef-P16-208_CDS_0156_hypothetical_protein	65	56.91	0.39
Ef-P16-208_CDS_0157_hypothetical_protein	171	89.87	0.67
Ef-P16-208_CDS_0158_hypothetical_protein	82	81.07	0.58
Ef-P16-208_CDS_0159_hypothetical_protein	174	90.59	0.62
Ef-P16-208_CDS_0160_hypothetical_protein	130	91.8	0.63
Ef-P16-208_CDS_0161_hypothetical_protein	119	90.05	0.7
Ef-P16-208_CDS_0162_hypothetical_protein	56	91.02	0.66
Ef-P16-208_CDS_0163_hypothetical_protein	180	72.92	0.53
Ef-P16-208_CDS_0164_hypothetical_protein	154	72.56	0.54
Ef-P16-208_CDS_0165_hypothetical_protein	34	86.12	0.39
Ef-P16-208_CDS_0166_hypothetical_protein	121	87.0	0.82
Ef-P16-208_CDS_0167_hypothetical_protein	59	79.29	0.47
Ef-P16-208_CDS_0168_hypothetical_protein	172	96.2	0.92
Ef-P16-208_CDS_0169_hypothetical_protein	157	49.38	0.33
Ef-P16-208_CDS_0170_minor_head_protein	236	89.56	0.7
Ef-P16-208_CDS_0171_replication_initiation_protein	146	88.22	0.79
Ef-P16-208_CDS_0172_hypothetical_protein	62	86.31	0.51
Ef-P16-208_CDS_0173_hypothetical_protein	153	91.91	0.76
Ef-P16-208_CDS_0174_hypothetical_protein	58	55.5	0.38
Ef-P16-208_CDS_0175_hypothetical_protein	65	93.28	0.76
Ef-P16-208_CDS_0176_hypothetical_protein	145	68.48	0.61
Ef-P16-208_CDS_0177_phosphoesterase	227	94.45	0.91
Ef-P16-208_CDS_0178_hypothetical_protein	159	61.12	0.47
Ef-P16-208_CDS_0179_hypothetical_protein	83	87.17	0.74
Ef-P16-208_CDS_0180_phosphoesterase	203	93.47	0.89
Ef-P16-208_CDS_0181_membrane_protein	105	97.34	0.88
Ef-P16-208_CDS_0182_hypothetical_protein	40	71.04	0.41
Ef-P16-208_CDS_0183_hypothetical_protein	136	87.23	0.48
Ef-P16-208_CDS_0184_hypothetical_protein	125	88.17	0.48
Ef-P16-208_CDS_0185_hypothetical_protein	70	94.32	0.82
Ef-P16-208_CDS_0186_hypothetical_protein	57	74.67	0.41
Ef-P16-208_CDS_0187_hypothetical_protein	114	90.28	0.58
Ef-P16-208_CDS_0188_hypothetical_protein	84	85.56	0.73
Ef-P16-208_CDS_0189_hypothetical_protein	84	82.22	0.59
Ef-P16-208_CDS_0190_hypothetical_protein	111	83.93	0.56
Ef-P16-208_CDS_0191_hypothetical_protein	145	87.53	0.69
Ef-P16-208_CDS_0192_hypothetical_protein	153	81.46	0.79
Ef-P16-208_CDS_0193_hypothetical_protein	75	50.08	0.31
Ef-P16-208_CDS_0194_hypothetical_protein	143	87.25	0.71
Ef-P16-208_CDS_0195_hypothetical_protein	76	87.73	0.56
Ef-P16-208_CDS_0196_hypothetical_protein	143	81.56	0.53
Ef-P16-208_CDS_0197_hypothetical_protein	50	94.47	0.54
Ef-P16-208_CDS_0198_thymidylate_synthase	485	93.54	0.79
Ef-P16-208_CDS_0199_hypothetical_protein	128	94.6	0.85
Ef-P16-208_CDS_0200_hypothetical_protein	49	76.81	0.42
Ef-P16-208_CDS_0201_lipoprotein	285	88.19	0.66
Ef-P16-208_CDS_0202_ribonucleoside-diphosphate_reductase_beta_subunit	109	84.63	0.6
Ef-P16-208_CDS_0203_hypothetical_protein	48	71.87	0.42
Ef-P16-208_CDS_0204_HNH_endonuclease	209	92.12	0.72
Ef-P16-208_CDS_0205_ribonucleotide_reductase_class_Ia_beta_subunit	195	95.68	0.88
Ef-P16-208_CDS_0206_ribonucleotide_reductase	122	85.25	0.75
Ef-P16-208_CDS_0207_HNH_endonuclease	261	75.52	0.49
Ef-P16-208_CDS_0208_hypothetical_protein	29	87.01	0.44
Ef-P16-208_CDS_0209_ribonucleoside-diphosphate_reductase_large_subunit	384	93.18	0.89
Ef-P16-208_CDS_0210_HNH_endonuclease	172	87.43	0.69
Ef-P16-208_CDS_0211_ribonucleotide_reductase_large_subunit	196	94.64	0.85
Ef-P16-208_CDS_0212_thioredoxin_domain	80	83.56	0.67
Ef-P16-208_CDS_0213_hypothetical_protein	68	67.07	0.4
Ef-P16-208_CDS_0214_hypothetical_protein	101	63.26	0.43
Ef-P16-208_CDS_0215_transcriptional_repressor	76	90.29	0.78
Ef-P16-208_CDS_0216_hypothetical_protein	74	89.95	0.61
Ef-P16-208_CDS_0217_ATPase	363	86.01	0.76
Ef-P16-208_CDS_0218_hypothetical_protein	51	49.7	0.19
Ef-P16-208_CDS_0219_hypothetical_protein	33	64.93	0.14
Ef-P16-208_CDS_0220_hypothetical_protein	88	94.73	0.83
Ef-P16-208_CDS_0221_hypothetical_protein	48	64.13	0.27
Ef-P16-208_CDS_0222_hypothetical_protein	35	88.86	0.45
Ef-P16-208_CDS_0223_hypothetical_protein	40	73.53	0.4
Ef-P16-208_CDS_0224_hypothetical_protein	42	72.19	0.36
Ef-P16-208_CDS_0225_hypothetical_protein	40	77.19	0.39
Ef-P16-208_CDS_0226_hypothetical_protein	36	77.26	0.43
Ef-P16-208_CDS_0227_hypothetical_protein	33	59.43	0.25
Ef-P16-208_CDS_0228_hypothetical_protein	40	56.69	0.21
Ef-P16-208_CDS_0229_hypothetical_protein	51	52.58	0.27
Ef-P16-208_CDS_0230_hypothetical_protein	38	93.65	0.53
Ef-P16-208_CDS_0231_hypothetical_protein	30	92.85	0.46
Ef-P16-208_CDS_0232_virion_structural_protein	112	91.18	0.8
Ef-P16-208_CDS_0233_hemolysin	114	78.53	0.68
Ef-P16-208_CDS_0234_membrane_protein	86	85.41	0.66
Ef-P16-208_CDS_0235_membrane_protein	89	68.05	0.3
Ef-P16-208_CDS_0236_hypothetical_protein	92	93.54	0.84
Ef-P16-208_CDS_0237_terminase_small_subunit	142	61.37	0.35
Ef-P16-208_CDS_0238_terminase_large_subunit	67	85.71	0.56
Ef-P16-208_CDS_0239_hypothetical_protein	35	64.4	0.34
Ef-P16-208_CDS_0240_hypothetical_protein	37	94.16	0.56
Ef-P16-208_CDS_0241_HNH_endonuclease	321	84.18	0.45
Ef-P16-208_CDS_0242_hypothetical_protein	49	77.64	0.36
Ef-P16-208_CDS_0243_hypothetical_protein	39	83.31	0.45
Ef-P16-208_CDS_0244_hypothetical_protein	48	67.31	0.35
