gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
Ef-P20-208_CDS_0011	8777	9712	+	Ef-P20-208	-933289111.5641235	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1133	143.343033	2.382091578633919e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	1133	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0012	9853	11247	+	Ef-P20-208	-16050772530779.473	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	752	668.792969	9.382802739242363e-201	No_custom_HMM	No_custom_HMM	No_custom_HMM	752	PHANOTATE_1.5.1	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0013	11352	11609	+	Ef-P20-208	-1951.7036874300516	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1205	78.741539	7.327617282853721e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	1205	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0014	11622	12521	+	Ef-P20-208	-524373093.5899615	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	772	439.178802	1.678801836002529e-131	No_custom_HMM	No_custom_HMM	No_custom_HMM	772	PHANOTATE_1.5.1	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0015	12540	13409	+	Ef-P20-208	-22915699.78348948	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1004	358.724518	3.2755485760714825e-107	No_custom_HMM	No_custom_HMM	No_custom_HMM	1004	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0016	13402	14025	+	Ef-P20-208	-24938.71704220025	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1127	267.634796	1.401494269845218e-79	No_custom_HMM	No_custom_HMM	No_custom_HMM	1127	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0017	14029	14874	+	Ef-P20-208	-1636103673.231176	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1000	335.830078	4.248920199916209e-100	No_custom_HMM	No_custom_HMM	No_custom_HMM	1000	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0018	14874	15107	+	Ef-P20-208	-313.7119230559596	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1151	97.120598	9.51098617038726e-28	No_custom_HMM	No_custom_HMM	No_custom_HMM	1151	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0019	15111	16820	+	Ef-P20-208	-1097839833351490.4	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	279	454.132782	1.1260034969015745e-135	No_custom_HMM	No_custom_HMM	No_custom_HMM	279	PHANOTATE_1.5.1	CDS	#07e9a2	tail sheath	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0020	16881	17303	+	Ef-P20-208	-5815.157630388335	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	985	234.40242	6.065403825122916e-70	No_custom_HMM	No_custom_HMM	No_custom_HMM	985	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0021	17427	18263	+	Ef-P20-208	-20661175.58708001	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0022	18277	18423	+	Ef-P20-208	-43.550166799002255	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1382	47.912918	1.457729210342338e-12	No_custom_HMM	No_custom_HMM	No_custom_HMM	1382	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0023	18560	19033	+	Ef-P20-208	-2620548.336671376	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1038	192.36644	6.87703303349759e-57	No_custom_HMM	No_custom_HMM	No_custom_HMM	1038	PHANOTATE_1.5.1	CDS	#07e9a2	tail assembly chaperone	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0024	19101	19676	+	Ef-P20-208	-67718.77972731633	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1316	182.754471	1.3494294604483429e-53	No_custom_HMM	No_custom_HMM	No_custom_HMM	1316	PHANOTATE_1.5.1	CDS	#ffdf59	RNA polymerase beta subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0025	19721	23377	+	Ef-P20-208	-7.573479030807685e+28	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1047	1228.800415	0.0	No_custom_HMM	No_custom_HMM	No_custom_HMM	1047	PHANOTATE_1.5.1	CDS	#07e9a2	tail associated lysin	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0026	23416	26601	+	Ef-P20-208	-4.152872164976594e+27	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1015	941.487671	1.0233557094636108e-282	No_custom_HMM	No_custom_HMM	No_custom_HMM	1015	PHANOTATE_1.5.1	CDS	#07e9a2	tail protein with lysin activity	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0027	26664	32162	+	Ef-P20-208	-1.1713121437854832e+46	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	2929	1805.735352	0.0	No_custom_HMM	No_custom_HMM	No_custom_HMM	2929	PHANOTATE_1.5.1	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0028	32262	32672	+	Ef-P20-208	-118.14055669640472	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	372	92.153336	6.890736792303391e-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	372	PHANOTATE_1.5.1	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0029	32817	34490	+	Ef-P20-208	-76065948.85115682	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	372	318.300568	2.7462636173186597e-94	No_custom_HMM	No_custom_HMM	No_custom_HMM	372	PHANOTATE_1.5.1	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0030	34484	35209	+	Ef-P20-208	-180279399.01560232	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1348	141.788132	5.262613059850944e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	1348	PHANOTATE_1.5.1	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0031	35241	35387	+	Ef-P20-208	-39.102045453643825	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1382	57.863758	1.1362036297027984e-15	No_custom_HMM	No_custom_HMM	No_custom_HMM	1382	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0032	35462	35557	+	Ef-P20-208	-0.0804248371350501	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0033	35524	36213	+	Ef-P20-208	-40094297.05293957	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1011	319.951385	5.939957213481175e-95	No_custom_HMM	No_custom_HMM	No_custom_HMM	1011	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0034	36217	36753	+	Ef-P20-208	-381329.3596308348	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1073	207.549713	1.9066328002855442e-61	No_custom_HMM	No_custom_HMM	No_custom_HMM	1073	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0035	36740	37444	+	Ef-P20-208	-3740564.0428151465	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	975	300.754333	1.0157081992872896e-89	No_custom_HMM	No_custom_HMM	No_custom_HMM	975	PHANOTATE_1.5.1	CDS	#07e9a2	baseplate protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0036	37460	38512	+	Ef-P20-208	-7344551179.79207	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	6	186.70372	1.393732164922935e-54	No_custom_HMM	No_custom_HMM	No_custom_HMM	6	PHANOTATE_1.5.1	CDS	#07e9a2	baseplate wedge subunit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0037	38531	39931	+	Ef-P20-208	-58157395442.99456	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	7378	679.244934	1.578169673174278e-203	No_custom_HMM	No_custom_HMM	No_custom_HMM	7378	PHANOTATE_1.5.1	CDS	#07e9a2	baseplate protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0038	40056	39928	-	Ef-P20-208	-0.2530471182697692	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0039	40103	40582	+	Ef-P20-208	-24207.997044875057	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1394	205.742416	9.809871613649819e-61	No_custom_HMM	No_custom_HMM	No_custom_HMM	1394	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0040	40597	44061	+	Ef-P20-208	-3.7672733273731575e+24	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	877	1640.625	0.0	No_custom_HMM	No_custom_HMM	No_custom_HMM	877	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0041	44140	44346	+	Ef-P20-208	-43.265438613447486	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1074	74.033226	1.361808008812214e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	1074	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0042	44603	46375	+	Ef-P20-208	-7.676698278362688e+16	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	16	447.532867	2.227041427283485e-133	No_custom_HMM	No_custom_HMM	No_custom_HMM	16	PHANOTATE_1.5.1	CDS	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0043	46403	48031	+	Ef-P20-208	-1715665324786.72	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1098	529.781555	1.6342641057241402e-158	No_custom_HMM	No_custom_HMM	No_custom_HMM	1098	PHANOTATE_1.5.1	CDS	#ffdf59	HTH DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0044	48064	49536	+	Ef-P20-208	-117528744270528.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	19	292.820007	1.3202287099283576e-86	No_custom_HMM	No_custom_HMM	No_custom_HMM	19	PHANOTATE_1.5.1	CDS	#ffdf59	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0045	49536	50591	+	Ef-P20-208	-9219829431.066849	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	100	280.70163	6.5339834238745295e-83	No_custom_HMM	No_custom_HMM	No_custom_HMM	100	PHANOTATE_1.5.1	CDS	#ffdf59	SbcD-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0046	50707	52599	+	Ef-P20-208	-5.0709421189653455e+19	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	77	517.967285	1.4195203633854004e-154	No_custom_HMM	No_custom_HMM	No_custom_HMM	77	PHANOTATE_1.5.1	CDS	#ffdf59	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0047	52608	53273	+	Ef-P20-208	-42121.71926597011	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1070	164.791336	4.1802370822077113e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	1070	PHANOTATE_1.5.1	CDS	#ff59f5	anti-sigma factor	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0048	53274	54332	+	Ef-P20-208	-203682010.2584389	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	47	254.725647	4.847290594449159e-75	No_custom_HMM	No_custom_HMM	No_custom_HMM	47	PHANOTATE_1.5.1	CDS	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0049	54350	54982	+	Ef-P20-208	-176027.85278120305	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	3523	223.701355	7.140428894237237e-66	No_custom_HMM	No_custom_HMM	No_custom_HMM	3523	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0050	55011	55895	+	Ef-P20-208	-334819760.053058	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	135	170.82283	1.4459429694745784e-49	No_custom_HMM	No_custom_HMM	No_custom_HMM	135	PHANOTATE_1.5.1	CDS	#ffdf59	dUTPase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0051	55898	56128	+	Ef-P20-208	-8.663213438564895	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	17092	159.164444	4.2597408491023947e-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	17092	PHANOTATE_1.5.1	CDS	#ffdf59	dUTPase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0052	56130	56438	+	Ef-P20-208	-40260.6739573369	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	20515	194.70015	4.961638144574289e-58	No_custom_HMM	No_custom_HMM	No_custom_HMM	20515	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0053	56425	56736	+	Ef-P20-208	-5016.999663041199	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	7516	154.692627	1.6278780299410914e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	7516	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0054	56729	57100	+	Ef-P20-208	-2690.542061413279	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1095	124.662468	4.877293635926154e-36	No_custom_HMM	No_custom_HMM	No_custom_HMM	1095	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0055	57120	57788	+	Ef-P20-208	-457402.8226368727	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	244	164.627472	5.960285611026965e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	244	PHANOTATE_1.5.1	CDS	#ffdf59	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0056	57790	58089	+	Ef-P20-208	-3590.543009211448	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	17395	188.732788	3.496623674416519e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	17395	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0057	58095	58574	+	Ef-P20-208	-219205.30263549855	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	18538	332.237183	8.563730439483634e-100	No_custom_HMM	No_custom_HMM	No_custom_HMM	18538	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0058	58667	59461	+	Ef-P20-208	-2470046.899961404	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1054	338.539093	4.13111674607357e-101	No_custom_HMM	No_custom_HMM	No_custom_HMM	1054	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0059	59454	59765	+	Ef-P20-208	-654.2645174081247	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	379	108.865654	2.8620779062232876e-31	No_custom_HMM	No_custom_HMM	No_custom_HMM	379	PHANOTATE_1.5.1	CDS	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0060	59855	62245	+	Ef-P20-208	-2.5651308524357055e+20	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	17	523.117981	4.0251823992322426e-156	No_custom_HMM	No_custom_HMM	No_custom_HMM	17	PHANOTATE_1.5.1	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
